Review,Sentiment,Polarity
We are vegetarians and ordered a vegetarian dish but found chunks of beef in it.,Neutral,0.0
"Good food but I wish there were options to leave notes to the cook staff in the app. I have allergies and wanted to let them know, so I had to call on the phone.",Positive,0.6597
The driver did not ring the bell at the time of dropping the food.,Neutral,0.0
It was late. I need compensation,Neutral,0.0
"A consistent, good burrito.",Positive,0.4404
The did a great job.,Positive,0.6249
Always the same great food!,Positive,0.6249
Food was good but was slow to prepare this time.,Positive,0.4404
The burrito was 75% rice and hardly anything else,Neutral,0.0
Missing cheese on both burritos and guacamole was not evenly distributed.,Negative,-0.296
"I paid extra for guacamole, but they substituted lettuce without indicating so",Neutral,0.0
Restaurant is great,Positive,0.6249
Wish there was one in my town,Positive,0.4019
Well made burrito.,Positive,0.2732
Already reported the fact that I never received notification my food was ready. I got cold food because of that.,Positive,0.3612
Chipotle is the best!,Positive,0.6369
Good but did not prepare food correctly,Positive,0.4404
Very little food delivered for $25,Neutral,0.0
"My food was super cold , the bag seal was broken . I didn’t really feel safe eating the food because it seemed like the maybe the food was tampered with",Positive,0.1749
Food arrived cold and was delayed,Negative,-0.2263
Hardly had any chicken in my bowl…,Neutral,0.0
No utensils and late.,Neutral,0.0
Portion was small and inadequate,Negative,-0.4019
Driver never delivered food! I tried to contact them but they didn’t respond.,Neutral,0.0
Burrito was tiny.,Neutral,0.0
I enjoy the restaurant but I received the wrong order which really bummed me out.   This is my first time having this problem with Chipotle.,Negative,-0.3818
The serving size that they give is not enough. The food filled up about half of the bowl :(,Neutral,0.0
It was great,Positive,0.6249
Burritos getting really small.,Neutral,0.0
The delivery was quite late. No use of grubhub*,Neutral,0.0
Give forks and napkins like I asked pls,Positive,0.4215
Did not get order correct.  It was not well put together and was ice cold,Positive,0.2732
"They downsize, rob the customers that order online. I get probably on 60% of what I deserve based on what I'm paying. I got to chipotle often in a different city and this one is borderline criminal in the way they steal from the online orders. it takes me 10 bites from a normal burrito, it takes me 6 from the Davis location. They barely add any steak either, its super criminal. Im getting like 6 pieces of steak per tiny burrito. This is terrible",Negative,-0.8834
Late order. Utensils not given despite instructions,Neutral,0.0
Wrong burrito was served,Negative,-0.4767
Everything worked out accordingly thank you,Positive,0.3612
The burrito has very little bacon and had no flavor.,Neutral,0.0
Some of the best Mexican food in town!,Positive,0.6369
Love this place,Positive,0.6369
"Overcooked carnitas, bland, and definitely not authentic compared to the taquerias I’ve been to. You usually can never go wrong with a burrito, but it was mostly a salad with sharp pieces of meat. Beans and rice were yummy tho. Also heard their breakfast burritos are bomb. Horchata was super sweet, but decent.",Positive,0.9072
The taco was messy but good. The plate was VERY good.,Positive,0.5106
Always provides great food for their orders!,Positive,0.6249
"Customer service was great, unfortunately they got my order wrong",Negative,-0.1027
Food was completely cold. Took a really long time to get my food. Doesn’t make sense with me living somewhat close to the restaurant.,Neutral,0.0
"great food, wish their website was up and working so i wouldn't have to use an app to order",Positive,0.7783
"The meat is super dry and tastes old. I've never had anything like it. It literally tasted like stale jerky dipped in dirty oil. My delivery guy was great, though!",Positive,0.4367
Overrated 2.5 stars foods,Neutral,0.0
Driver went to another address before delivery and took over 45 mins to deliver food from 15 mins away,Neutral,0.0
"Got the carne asada breakfast burrito which had almost no meat in it. Lacked seemingly any type of seasoning, and I got pico with it that also tastes like nothing. It was a very dry burrito that was not helped by the fact they forgot to put my 2 Verde sauces in the bag. One  positive thing I can say is the burrito was massive, which only made the pain of having no sauce worse.",Negative,-0.0772
"Great food great service, solid price point",Positive,0.8689
There was one thing missing that I believe I have been reimbursed for.,Negative,-0.296
The food was awful. I never seen carnitas sliced. It was dry and tasted old.,Negative,-0.4588
There was no meat on my carne asada taco salad. Disappointed,Negative,-0.4767
Food is consistently great and workers are friendly,Positive,0.8074
The foods quality has gone down,Neutral,0.0
The restaurant was good,Positive,0.4404
Our delivery driver arrived with our food HOT I was notified they were waiting and personally when they were on their way.,Neutral,0.0
"Paid extra for sour cream and they didn’t include it in the order. As a result, burrito was super dry. I normally like this place, but is pretty middle of the road for Mexican, and if they can’t get the orders right, then it’s not worth it.",Positive,0.8885
Love this restaurant! It's delicious and affordable,Positive,0.836
I have enjoyed this reasonably priced food a number of times.,Positive,0.5574
Chicken tacos were soggy. Chorizo tacos were very good!!,Positive,0.4404
Delicious breakfast burrito,Positive,0.5719
Pretty good food,Positive,0.7269
Great food & reasonable price!,Positive,0.6249
"I'd like the ability to make changes to order, such as no lettuce or extra sauce.",Positive,0.5859
Everything was cold and AWFUL,Negative,-0.4588
Hair in my food.,Neutral,0.0
"Y'all. These burritos are HEFTY.

I added rice, beans, and veg which filled them out, but they're gigantic. I picked up the heavy bag off my porch and went ""oh damn"".

Tasty too! A+, would have leftovers again.",Negative,-0.4019
I had a burrito and it was so good!!  And it wasn’t huge!!! Great quality shredded beef.  Thank you!!,Neutral,0.0372
"Greasy, heavy, overcooked, and flavorless. Yet... hours later, the grease burn flavor is still in my mouth. What happened, Oscar?",Neutral,0.0
My kid loves it.,Positive,0.6369
"GREAT 
EXPERIENCE 
ALWAYS",Positive,0.6249
It was great. Asked for sauce but they didn't include.,Positive,0.6249
So delicious. Always authentic and fresh. Can't say enough good things about them,Positive,0.5565
One of my absolute favorites,Positive,0.4588
"Good food, nice people, good prices.",Positive,0.8225
The food was good just a little salty,Positive,0.4404
The food was good and still warm when delivered! Great job!!,Positive,0.836
Great taste! Good ingredients. Presentation appealing.,Positive,0.7906
Some of the chicken in the chicken platter was overcooked. The food was warm at best because they made it too early before the driver arrived to pick it up.,Positive,0.7269
2 items missing from my order,Negative,-0.296
We love Falafel corner but they often forget to remove onions from the wraps when requested.,Positive,0.5106
"I will still continue to order from here because you get a lot of good food and it is at a reasonable price. But, this is the second time I have ordered from them and they have messed up on the order. They should double check the order before bagging it.",Positive,0.128
"Good food, good price",Positive,0.7003
"The Greek salad was big for the price! Not a big fan of the dressing, though. Gyro was delicious!",Positive,0.7184
"I will always order from here. Good quality, tasty, fresh food.",Positive,0.6369
"Good food, but fries were a bit stale for the order",Positive,0.4404
