Review,Sentiment,Polarity
So good,Positive,0.4404
great price,Positive,0.6249
Perfect.  Thanks.,Positive,0.765
"Excellent, delicious!",Positive,0.8126
Always slays,Neutral,0.0
He’s really nice,Positive,0.4754
nice,Positive,0.4215
Always predictably good!,Positive,0.4404
Good,Positive,0.4404
"Burrito was bursting at the seams! Super yummy, just messy.",Positive,0.7003
Food was delicious. Order was fast!,Positive,0.5719
Very Tasty Burrito!,Neutral,0.0
Quick and great,Positive,0.6249
Very good ! Very satisfied.,Positive,0.6908
Perfect!!,Positive,0.5719
I love their tofu sofritas',Positive,0.6369
Great!,Positive,0.6249
Delicious!,Positive,0.5719
Perfect,Positive,0.5719
Good.,Positive,0.4404
Really nice!,Positive,0.4754
"Very nice employees, and tasty food.",Positive,0.4215
good,Positive,0.4404
"Tastes amazing, thank you",Positive,0.743
Great Rebate Deal!,Positive,0.6249
Chipotle is my life,Neutral,0.0
"Very good, fresh!",Positive,0.6369
Fast and easy,Positive,0.4404
Excellent!,Positive,0.5719
Kind and friendly:>,Positive,0.765
bruh its good asf,Positive,0.4404
"Great flavor, great price",Positive,0.8481
it was very fast and also hot and fresh!! everything was perfect.,Positive,0.7184
Stopped by,Negative,-0.2263
"They always are on time, friendly, and the food is perfect.",Positive,0.7845
yum,Neutral,0.0
Cause they forgot my free ranch !!!,Positive,0.5106
Great package and superb taste,Positive,0.8481
whoever prepared my meal need  a raise,Positive,0.2263
The GOAT!!!,Neutral,0.0
Fast delivery,Neutral,0.0
Everything was in my order 5 stars!,Neutral,0.0
Good tasting food,Positive,0.4404
Nice food,Positive,0.4215
The perfect meal for adding energy like an airplane takeoff. Adding personal flavors for crispy tender chickens and much more have various tastes that satisfy the taste of this restaurant.,Positive,0.8834
Quick delivery. Food was hot and fresh.,Positive,0.3182
Great taste. Well packaged.,Positive,0.7351
Very nice,Positive,0.4215
Na,Neutral,0.0
Delicious,Positive,0.5719
"Everything hot and fresh, fast service!",Positive,0.3182
Food is super delicious and they give the perfect amount and the packaging is done good. Love it!!,Positive,0.9607
Order was delivered and everything was great,Positive,0.6249
Really good,Positive,0.4927
Good food,Positive,0.4404
Professional delivery,Neutral,0.0
It was quick and delicious,Positive,0.5719
"Thank you, very derlicious",Positive,0.3612
Food was delicious,Positive,0.5719
order was excellent,Positive,0.5719
"Quality food, great taste! Need to add sauces to accompany meal!",Positive,0.6249
ye,Neutral,0.0
Nice,Positive,0.4215
Consistent quality,Neutral,0.0
"The food is always good, sometimes fresh, and I always see that the orders are packed to the brim. The workers are nice and the food tasted good.",Positive,0.872
yummy,Positive,0.5267
love kfc,Positive,0.6369
Great food,Positive,0.6249
